id,MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
0,5,8,5,8,6,4,4,3,3,4,2,5,3,3,5,4,7,5,7,3,0.445
1,6,7,4,4,8,8,3,5,4,6,9,7,2,0,3,5,3,3,4,3,0.45
2,6,5,6,7,3,7,1,5,4,5,6,7,3,7,5,6,8,2,3,3,0.53
3,3,4,6,5,4,8,4,7,6,8,5,2,4,7,4,4,6,5,7,5,0.535
4,5,3,2,6,4,4,3,3,3,3,5,2,2,6,6,4,1,2,3,5,0.415
5,5,4,1,4,2,4,6,6,7,5,5,3,5,5,4,4,6,8,3,2,0.44
6,8,3,1,2,3,7,3,4,6,7,5,2,5,6,4,5,6,3,4,6,0.46
7,6,6,5,7,5,5,3,5,5,5,3,5,3,5,5,8,6,8,5,6,0.595
8,5,2,8,5,4,5,2,4,5,5,2,9,2,7,3,4,6,4,5,5,0.505
9,4,2,3,5,8,6,5,5,7,6,4,6,3,3,4,4,3,3,5,6,0.455
10,3,7,2,6,6,3,2,3,3,2,6,9,5,2,5,4,5,8,8,5,0.515
11,7,4,5,4,4,2,4,6,6,4,4,6,6,2,4,7,7,8,3,0,0.48
12,6,5,5,8,3,1,3,6,5,7,5,4,4,6,3,11,1,4,5,2,0.47
13,5,6,8,3,5,6,4,6,4,5,4,2,3,4,5,5,1,5,5,6,0.51
14,5,3,0,5,10,6,8,5,3,5,6,1,8,3,4,3,7,2,4,4,0.485
15,5,6,8,3,6,5,5,3,5,7,2,4,2,4,6,4,6,4,3,2,0.43
16,5,7,6,7,6,5,3,6,5,4,2,5,9,3,6,4,3,6,7,4,0.525
17,4,1,8,3,7,0,5,3,8,9,4,4,5,3,3,6,4,6,4,5,0.515
18,3,4,6,4,5,7,5,7,4,3,8,4,8,9,5,7,5,4,4,5,0.56
19,4,6,5,9,7,4,3,6,5,3,8,2,5,7,6,5,6,5,5,5,0.555
20,4,7,5,8,5,7,5,3,5,5,5,4,4,3,8,6,8,5,4,5,0.555
21,3,5,1,5,9,8,4,3,7,3,4,1,6,3,7,4,5,5,6,5,0.49
22,6,5,4,3,2,3,2,4,2,3,1,6,6,8,5,6,2,7,3,6,0.405
23,6,4,5,4,3,4,7,3,3,5,4,5,3,8,4,5,8,4,4,5,0.445
24,9,7,3,6,2,7,4,10,4,6,4,4,2,3,6,4,6,2,3,5,0.5
25,4,3,2,7,9,3,3,6,6,7,5,5,5,4,4,3,2,5,6,4,0.48
26,7,5,9,7,4,7,5,10,6,4,3,2,5,2,9,2,3,4,9,8,0.59
27,2,5,6,5,4,8,4,4,5,5,1,5,5,4,7,8,6,5,5,8,0.525
28,9,9,9,8,4,5,3,6,4,4,5,7,12,3,3,4,12,9,3,11,0.675
29,4,4,8,5,3,10,1,5,10,6,3,3,6,3,5,5,6,7,7,8,0.55
30,7,9,4,9,2,2,4,5,5,7,5,4,6,3,8,4,9,9,4,3,0.57
31,5,5,7,7,3,5,4,5,3,5,3,4,8,5,3,3,5,3,4,5,0.455
32,2,7,3,3,6,3,9,5,3,6,4,9,2,5,5,3,5,9,3,5,0.51
33,5,6,4,5,5,3,5,4,3,5,5,3,5,10,6,8,7,6,5,2,0.54
34,5,7,2,6,6,5,4,4,3,5,1,2,5,5,4,5,3,10,5,5,0.455
35,7,4,3,5,5,4,5,8,5,5,4,6,4,5,5,5,9,5,7,3,0.525
36,5,8,5,9,7,7,7,1,7,4,8,5,2,3,3,7,5,6,5,9,0.57
37,5,2,9,5,7,6,9,3,4,5,5,5,8,7,9,3,4,4,3,6,0.57
38,7,5,3,2,8,1,5,4,6,5,9,8,5,6,5,4,5,8,5,8,0.55
39,4,3,9,9,4,1,4,5,9,6,4,4,4,5,3,6,5,3,7,3,0.475
40,10,2,1,5,7,4,3,6,3,7,3,2,8,4,8,2,7,5,5,4,0.48
41,1,6,7,6,5,8,4,7,3,2,4,5,6,2,5,3,3,4,6,4,0.455
42,4,1,8,7,2,3,2,2,5,5,8,5,8,6,2,5,4,3,5,5,0.495
43,8,6,2,6,5,5,4,7,1,4,4,5,6,5,5,4,5,4,4,3,0.48
44,1,8,8,8,4,8,2,6,3,4,5,5,5,5,2,9,3,1,9,4,0.555
45,6,3,2,5,9,4,7,5,3,4,5,7,4,8,4,5,8,5,3,3,0.54
46,8,5,2,4,2,7,12,4,3,6,4,5,9,5,3,6,2,2,6,3,0.495
47,7,2,2,5,4,5,2,4,4,4,3,2,4,5,5,6,3,7,3,4,0.4
48,3,10,4,6,5,2,9,5,1,0,4,9,6,2,4,7,5,7,5,3,0.465
49,5,6,4,6,2,7,5,5,3,7,4,2,5,7,7,2,4,5,4,6,0.48
50,4,1,6,4,7,6,3,9,2,3,3,3,4,3,6,5,8,6,5,2,0.425
51,8,4,3,2,3,6,11,4,8,3,6,4,6,7,3,5,6,5,5,4,0.52
52,3,3,4,3,6,10,3,5,8,7,7,3,3,2,5,4,3,3,2,5,0.44
53,2,4,1,5,4,4,7,5,8,3,2,7,3,6,6,7,8,3,6,5,0.49
54,4,6,1,5,5,3,8,3,4,4,5,5,6,7,6,5,4,7,8,4,0.505
55,5,8,5,6,6,6,6,4,6,3,4,2,5,6,5,4,4,8,4,8,0.53
56,10,5,4,4,5,4,7,6,7,4,9,2,1,5,4,6,6,3,8,5,0.525
57,3,5,3,8,3,7,3,3,5,4,3,5,6,3,9,6,4,5,1,6,0.485
58,6,3,7,7,3,8,10,4,5,7,4,5,4,6,7,6,7,4,4,8,0.6
59,4,3,3,2,7,9,6,6,8,5,6,6,4,6,3,4,2,2,5,6,0.485
60,7,2,3,4,5,5,5,5,3,6,5,8,6,2,7,10,2,4,2,5,0.5
61,4,5,4,7,5,5,3,3,3,6,10,4,5,4,5,6,5,6,7,7,0.535
62,6,6,2,4,9,5,4,6,4,5,6,5,6,7,5,5,4,7,1,5,0.55
63,3,4,5,2,3,7,7,6,3,4,5,5,3,7,7,8,7,1,6,6,0.495
64,3,4,2,5,7,5,6,6,3,4,7,4,4,3,5,6,6,1,8,8,0.475
65,6,2,7,4,3,6,4,4,3,5,6,5,3,10,2,5,2,8,4,6,0.515
66,4,5,6,4,7,5,5,4,5,1,8,3,3,4,5,5,6,6,5,7,0.49
67,8,6,4,5,6,10,3,4,5,4,4,4,4,5,0,4,7,7,4,8,0.525
68,3,7,3,5,11,1,5,4,6,7,6,3,6,7,3,2,4,7,4,5,0.53
69,3,6,5,3,5,5,4,0,3,5,5,6,5,6,2,2,5,8,5,10,0.49
70,5,4,4,8,6,3,4,8,4,5,4,3,8,6,4,4,5,7,4,6,0.51
71,3,4,1,5,6,5,4,5,6,8,1,7,10,8,9,6,8,5,4,8,0.575
72,3,7,4,5,5,6,4,3,4,6,4,5,3,6,4,9,8,5,4,2,0.465
73,7,3,5,4,3,7,3,5,3,4,7,3,7,6,11,2,6,1,4,3,0.45
74,3,6,5,2,6,7,5,8,5,8,6,5,3,5,5,4,8,6,6,4,0.57
75,4,4,0,3,2,2,4,5,6,1,8,3,7,2,8,3,4,3,9,1,0.415
76,0,5,4,0,4,4,5,2,2,5,6,4,6,4,4,6,3,4,3,4,0.365
